EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,515.123.4567,9/1/2009,AD_PRES,24000,,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,12/7/2011,AD_VP,17000,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,3/31/2015,AD_VP,17000,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,3/20/2012,IT_PROG,9000,102,60
104,Bruce,Ernst,BERNST,590.423.4568,8/5/2013,IT_PROG,6000,103,60
105,David,Austin,DAUSTIN,590.423.4569,9/10/2019,IT_PROG,4800,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,4/22/2020,IT_PROG,4800,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,4/24/2021,IT_PROG,4200,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,11/1/2016,FI_MGR,12000,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,10/31/2016,FI_ACCOUNT,9000,108,100
110,John,Chen,JCHEN,515.124.4269,12/14/2019,FI_ACCOUNT,8200,108,100
